part_id,PPI Score,rwi,num_household
2,44.31578947368421,-0.3971039652824402,19
2,37.65901639344262,-0.5203869342803955,305
2,32.447257383966246,-0.228946328163147,237
1,29.75,-0.0498894453048706,28
1,37.26086956521739,-0.10761767625808717,46
2,53.4,0.1754471063613892,40
2,42.423228346456696,-0.3913220763206482,508
2,36.53917910447761,-0.1662459969520569,536
2,39.97191011235955,-0.452727198600769,178
1,37.982608695652175,-0.3827582001686096,115
1,31.64822134387352,-0.21775346994400022,253
2,44.38356164383562,-0.1658521294593811,73
2,42.0987012987013,0.015097796916961675,385
2,42.31843575418994,-0.1655130982398987,179
3,38.88934426229508,-0.3587364554405212,244
2,48.0,-0.4001002907752991,6
3,31.677777777777777,-0.4001002907752991,90
3,37.872262773722625,-0.2714037895202637,274
3,41.867924528301884,-0.4397755265235901,53
4,19.0,-0.4397364258766174,1
4,40.496855345911946,-0.4186362624168396,159
4,34.068627450980394,-0.5072234869003296,102
4,39.76428571428571,-0.4064990282058716,280
5,13.333333333333334,-0.921905279159546,3
5,14.384615384615385,-0.6310161352157593,13
5,16.0,-0.5880333185195923,2
5,15.25,-0.14030420780181882,8
5,18.654761904761905,-0.5394010543823242,84
5,17.50793650793651,-0.3613549470901489,63
5,16.471153846153847,-0.6771144866943359,104
5,19.16216216216216,-0.7495753765106201,37
5,13.909090909090908,-1.0373249053955078,33
5,20.848837209302324,-0.4420322179794312,86
5,17.536585365853657,-0.3463906049728394,41
5,16.027397260273972,-0.8008953332901001,73
5,20.67105263157895,-0.1033658981323242,76
5,18.2183908045977,-0.07978397607803343,87
5,19.96875,-0.1760672330856323,96
5,19.347826086956523,-0.6550984382629395,23
5,18.71794871794872,-0.3146777749061584,156
5,27.154761904761905,-0.6283866167068481,84
5,25.859223300970875,-0.2873823046684265,206
5,22.10486891385768,-0.4929037094116211,267
5,26.4337899543379,0.3425703644752502,219
5,17.10326086956522,-0.3482362031936646,184
6,40.666666666666664,-0.0207445025444031,6
6,19.565217391304348,-0.2751011252403259,23
6,23.272727272727273,-0.055652379989624016,11
5,21.370967741935484,-0.4615949988365173,62
5,22.9,-0.2351967096328735,210
5,27.335051546391753,0.035416722297668464,194
5,25.823529411764707,-0.3971846699714661,136
6,15.835164835164836,-0.3706939220428467,91
6,21.68548387096774,-0.3958196043968201,124
6,16.46825396825397,-0.5679367780685425,126
6,11.2,-0.43298059701919567,5
5,16.466666666666665,-0.6874769926071167,15
5,15.659340659340659,-0.7265245914459229,91
5,27.464285714285715,-0.4492438435554504,28
6,12.654545454545454,-0.5344781875610352,55
6,17.19753086419753,-0.3059914708137512,81
6,11.352941176470589,-0.3307188749313354,34
